Retailer,InvoiceDate,Region,State,City,Product,Price per Unit,UnitsSold,TotalSales,OperatingProfit,OperatingMargin,SalesMethod,state_code
kohl's,2019-01-01,South,Arkansas,Little Rock,Men's Street Footwear,55.0,1399,76945.0,45400.0,59.0,In-store,AR
sports direct,2019-01-01,Midwest,Ohio,Columbus,Men's Street Footwear,50.0,1965,98250.0,46180.0,47.0,Outlet,OH
amazon,2019-01-01,Northeast,Delaware,Wilmington,Women's Athletic Footwear,60.0,1312,78720.0,40150.0,51.0,Online,DE
amazon,2019-01-01,West,Arizona,Phoenix,Women's Apparel,65.0,1967,127855.0,71600.0,56.0,Online,AZ
walmart,2019-01-01,West,Nevada,Las Vegas,Men's Street Footwear,40.0,1149,45960.0,17010.0,37.0,Online,NV
foot locker,2019-01-01,Midwest,Minnesota,Minneapolis,Men's Street Footwear,30.0,1631,48930.0,14680.0,30.0,In-store,MN
kohl's,2019-01-01,Midwest,Iowa,Des Moines,Women's Street Footwear,45.0,1782,80190.0,31270.0,39.0,Outlet,IA
foot locker,2019-01-01,South,Alabama,Birmingham,Men's Street Footwear,45.0,1053,47385.0,15640.0,33.0,Outlet,AL
amazon,2019-01-01,West,New Mexico,Albuquerque,Men's Street Footwear,65.0,1952,126880.0,43140.0,34.0,Online,NM
foot locker,2019-01-01,Southeast,Florida,Miami,Women's Athletic Footwear,50.0,1980,99000.0,31680.0,32.0,Outlet,FL
sports direct,2019-01-01,Southeast,North Carolina,Charlotte,Women's Apparel,35.0,1692,59220.0,34350.0,57.9999999999999,In-store,NC
foot locker,2019-01-01,South,Alabama,Birmingham,Women's Street Footwear,40.0,1070,42800.0,24820.0,57.9999999999999,Outlet,AL
walmart,2019-01-01,Midwest,Kansas,Wichita,Men's Athletic Footwear,50.0,1442,72100.0,38930.0,54.0,In-store,KS
amazon,2019-01-01,Southeast,North Carolina,Charlotte,Women's Apparel,60.0,1897,113820.0,63740.0,56.0,Online,NC
sports direct,2019-01-01,South,Texas,Houston,Women's Street Footwear,60.0,1225,73500.0,33080.0,45.0,Online,TX
kohl's,2019-01-01,West,New Mexico,Albuquerque,Women's Apparel,55.0,1622,89210.0,44600.0,50.0,Outlet,NM
foot locker,2019-01-01,West,Utah,Salt Lake City,Men's Street Footwear,45.0,1675,75375.0,27890.0,37.0,Online,UT
amazon,2019-01-01,Southeast,Florida,Orlando,Men's Athletic Footwear,55.0,1347,74085.0,36300.0,49.0,Online,FL
kohl's,2019-01-01,Midwest,South Dakota,Sioux Falls,Women's Apparel,65.0,1476,95940.0,54690.0,56.9999999999999,In-store,SD
amazon,2019-01-01,Southeast,Florida,Orlando,Men's Athletic Footwear,45.0,1245,56025.0,24090.0,43.0,Online,FL
kohl's,2019-01-01,Southeast,Kentucky,Louisville,Men's Apparel,70.0,1367,95690.0,31580.0,33.0,Online,KY
amazon,2019-01-01,West,New Mexico,Albuquerque,Women's Street Footwear,50.0,1156,57800.0,29480.0,51.0,Online,NM
foot locker,2019-01-01,Midwest,Missouri,St. Louis,Men's Athletic Footwear,70.0,1863,130410.0,40430.0,31.0,Online,MO
kohl's,2019-01-01,Northeast,Maine,Portland,Men's Street Footwear,65.0,1220,79300.0,40440.0,51.0,Online,ME
kohl's,2019-01-01,Northeast,Rhode Island,Providence,Men's Athletic Footwear,60.0,1503,90180.0,30660.0,34.0,Outlet,RI
foot locker,2019-01-02,South,Texas,Dallas,Women's Street Footwear,50.0,1619,80950.0,27520.0,34.0,Outlet,TX
amazon,2019-01-02,Midwest,Missouri,St. Louis,Women's Street Footwear,55.0,1801,99055.0,58440.0,59.0,Online,MO
