State,SalesMethod,state_code,TotalSales
Alabama,In-store,AL,5281760.0
Alabama,Online,AL,8850111.0
Alabama,Outlet,AL,21754718.0
Alaska,In-store,AK,2566965.0
Alaska,Online,AK,4744818.0
Alaska,Outlet,AK,18070435.0
Arizona,In-store,AZ,2843170.0
Arizona,Online,AZ,20112187.0
Arizona,Outlet,AZ,4208504.0
Arkansas,In-store,AR,5775470.0
Arkansas,Online,AR,20323057.0
Arkansas,Outlet,AR,4352415.0
California,In-store,CA,3504035.0
California,Online,CA,6991055.0
California,Outlet,CA,61518653.0
Colorado,In-store,CO,23146785.000000004
Colorado,Online,CO,5187306.0
Colorado,Outlet,CO,2676945.0
Connecticut,In-store,CT,14572095.0
Connecticut,Online,CT,5175341.0
Connecticut,Outlet,CT,3781212.0
Delaware,In-store,DE,15308960.0
Delaware,Online,DE,4910977.0
Delaware,Outlet,DE,3613920.0
Florida,In-store,FL,58169615.00000001
Florida,Online,FL,10041224.0
Florida,Outlet,FL,13199150.0
Georgia,In-store,GA,6669455.0
Georgia,Online,GA,27277579.000000004
Georgia,Outlet,GA,7712572.0
Hawaii,In-store,HI,3615650.0
Hawaii,Online,HI,4816202.0
Hawaii,Outlet,HI,25587845.000000004
Idaho,In-store,ID,2901180.0
Idaho,Online,ID,23899991.0
Idaho,Outlet,ID,3546192.0
Illinois,In-store,IL,3420375.0
Illinois,Online,IL,5256658.0
Illinois,Outlet,IL,12605010.0
Indiana,In-store,IN,11143805.0
Indiana,Online,IN,5266278.0
Indiana,Outlet,IN,3313895.0
Iowa,In-store,IA,10504425.0
Iowa,Online,IA,4324006.0
Iowa,Outlet,IA,3308895.0
Kansas,In-store,KS,2904865.0
Kansas,Online,KS,14453354.0
Kansas,Outlet,KS,2682020.0
Kentucky,In-store,KY,6161820.0
Kentucky,Online,KY,20928788.0
Kentucky,Outlet,KY,6718845.0
Louisiana,In-store,LA,8165290.0
Louisiana,Online,LA,28840413.000000004
Louisiana,Outlet,LA,5290218.0
Maine,In-store,ME,2463995.0
Maine,Online,ME,5151818.0
Maine,Outlet,ME,12331775.0
Maryland,In-store,MD,10934385.0
Maryland,Online,MD,6030464.0
Maryland,Outlet,MD,3287965.0
Massachusetts,In-store,MA,13359545.0
Massachusetts,Online,MA,6332066.0
Massachusetts,Outlet,MA,3583969.0
Michigan,In-store,MI,20705665.0
Michigan,Online,MI,5214338.0
Michigan,Outlet,MI,3263675.0
Minnesota,In-store,MN,4899765.0
Minnesota,Online,MN,5276473.0
Minnesota,Outlet,MN,8766685.0
Mississippi,In-store,MS,5368905.0
Mississippi,Online,MS,24218674.0
Mississippi,Outlet,MS,5537340.0
Missouri,In-store,MO,11676425.0
Missouri,Online,MO,4850545.0
Missouri,Outlet,MO,2625140.0
Montana,In-store,MT,2983470.0
Montana,Online,MT,4332381.0
Montana,Outlet,MT,18839580.0
Nebraska,In-store,NE,3327025.0
