Kohl's,01-01-2019,South,Arkansas,Little Rock,Men's Street Footwear,55,1399,76945,45400,59,In-store
Sports Direct,01-01-2019,Midwest,Ohio,Columbus,Men's Street Footwear,50,1965,98250,46180,47,Outlet
Amazon,01-01-2019,Northeast,Delaware,Wilmington,Women's Athletic Footwear,60,1312,78720,40150,51,Online
Amazon,01-01-2019,West,Arizona,Phoenix,Women's Apparel,65,1967,127855,71600,56,Online
Walmart,01-01-2019,West,Nevada,Las Vegas,Men's Street Footwear,40,1149,45960,17010,37,Online
Foot Locker,01-01-2019,Midwest,Minnesota,Minneapolis,Men's Street Footwear,30,1631,48930,14680,30,In-store
Kohl's,01-01-2019,Midwest,Iowa,Des Moines,Women's Street Footwear,45,1782,80190,31270,39,Outlet
Foot Locker,01-01-2019,South,Alabama,Birmingham,Men's Street Footwear,45,1053,47385,15640,33,Outlet
Amazon,01-01-2019,West,New Mexico,Albuquerque,Men's Street Footwear,65,1952,126880,43140,34,Online
Foot Locker,01-01-2019,Southeast,Florida,Miami,Women's Athletic Footwear,50,1980,99000,31680,32,Outlet
Sports Direct,01-01-2019,Southeast,North Carolina,Charlotte,Women's Apparel,35,1692,59220,34350,58,In-store
Foot Locker,01-01-2019,South,Alabama,Birmingham,Women's Street Footwear,40,1070,42800,24820,58,Outlet
Walmart,01-01-2019,Midwest,Kansas,Wichita,Men's Athletic Footwear,50,1442,72100,38930,54,In-store
Amazon,01-01-2019,Southeast,North Carolina,Charlotte,Women's Apparel,60,1897,113820,63740,56,Online
Sports Direct,01-01-2019,South,Texas,Houston,Women's Street Footwear,60,1225,73500,33080,45,Online
Kohl's,01-01-2019,West,New Mexico,Albuquerque,Women's Apparel,55,1622,89210,44600,50,Outlet
Foot Locker,01-01-2019,West,Utah,Salt Lake City,Men's Street Footwear,45,1675,75375,27890,37,Online
Amazon,01-01-2019,Southeast,Florida,Orlando,Men's Athletic Footwear,55,1347,74085,36300,49,Online
Kohl's,01-01-2019,Midwest,South Dakota,Sioux Falls,Women's Apparel,65,1476,95940,54690,57,In-store
Amazon,01-01-2019,Southeast,Florida,Orlando,Men's Athletic Footwear,45,1245,56025,24090,43,Online
Kohl's,01-01-2019,Southeast,Kentucky,Louisville,Men's Apparel,70,1367,95690,31580,33,Online
Amazon,01-01-2019,West,New Mexico,Albuquerque,Women's Street Footwear,50,1156,57800,29480,51,Online
Foot Locker,01-01-2019,Midwest,Missouri,St. Louis,Men's Athletic Footwear,70,1863,130410,40430,31,Online
Kohl's,01-01-2019,Northeast,Maine,Portland,Men's Street Footwear,65,1220,79300,40440,51,Online
Kohl's,01-01-2019,Northeast,Rhode Island,Providence,Men's Athletic Footwear,60,1503,90180,30660,34,Outlet
Foot Locker,02-01-2019,South,Texas,Dallas,Women's Street Footwear,50,1619,80950,27520,34,Outlet
Amazon,02-01-2019,Midwest,Missouri,St. Louis,Women's Street Footwear,55,1801,99055,58440,59,Online
Walmart,02-01-2019,Northeast,Delaware,Wilmington,Women's Athletic Footwear,35,1914,66990,33500,50,In-store
Foot Locker,02-01-2019,Northeast,New Hampshire,Manchester,Men's Athletic Footwear,70,1419,99330,45690,46,Online
Foot Locker,02-01-2019,South,Tennessee,Knoxville,Men's Street Footwear,45,1097,49365,24190,49,Outlet
