Year,State,state_code,TotalSales
2019,Alabama,AL,18253165.0
2019,Alaska,AK,10629115.0
2019,Arizona,AZ,11381640.0
2019,Arkansas,AR,17811595.0
2019,California,CA,11839610.0
2019,Colorado,CO,10014500.0
2019,Connecticut,CT,11955200.0
2019,Delaware,DE,11535445.0
2019,Florida,FL,22126275.0
2019,Georgia,GA,22662140.0
2019,Hawaii,HI,11737240.0
2019,Idaho,ID,11070485.0
2019,Illinois,IL,11484555.0
2019,Indiana,IN,10887780.0
2019,Iowa,IA,10713315.0
2019,Kansas,KS,10067375.0
2019,Kentucky,KY,23736605.0
2019,Louisiana,LA,18545140.0
2019,Maine,ME,10751610.0
2019,Maryland,MD,12494755.0
2019,Massachusetts,MA,12198770.0
2019,Michigan,MI,10558245.0
2019,Minnesota,MN,11564855.0
2019,Mississippi,MS,19533210.0
2019,Missouri,MO,9468845.0
2019,Montana,MT,10444545.0
2019,Nebraska,NE,10735760.0
2019,Nevada,NV,11777300.0
2019,New Hampshire,NH,12752795.0
2019,New Jersey,NJ,12410645.0
2019,New Mexico,NM,10791690.0
2019,New York,NY,9999550.0
2019,North Carolina,NC,21777940.0
2019,North Dakota,ND,11554515.0
2019,Ohio,OH,12815185.0
2019,Oklahoma,OK,20212450.0
2019,Oregon,OR,11160965.0
2019,Pennsylvania,PA,9957080.0
2019,Rhode Island,RI,12088890.0
2019,South Carolina,SC,23654775.0
2019,South Dakota,SD,10515150.0
2019,Tennessee,TN,20036040.0
2019,Texas,TX,19897305.0
2019,Utah,UT,10009615.0
2019,Vermont,VT,11582280.0
2019,Virginia,VA,20352720.0
2019,Washington,WA,10530850.0
2019,West Virginia,WV,11769950.0
2019,Wisconsin,WI,11153975.0
2019,Wyoming,WY,11965905.0
2020,California,CA,8709390.0
2020,Colorado,CO,20996536.000000004
2020,Florida,FL,31600863.000000004
2020,Minnesota,MN,7378068.0
2020,Nevada,NV,20858509.0
2020,New York,NY,39801235.0
2020,Pennsylvania,PA,948474.0
2020,Texas,TX,25456882.0
2020,Washington,WA,26330718.000000004
2021,Alabama,AL,17633424.0
2021,Alaska,AK,14753103.0
2021,Arizona,AZ,15782221.000000002
2021,Arkansas,AR,12639347.000000002
2021,California,CA,51464743.0
2021,Connecticut,CT,11573448.0
2021,Delaware,DE,12298412.0
2021,Florida,FL,27682851.000000004
2021,Georgia,GA,18997466.000000004
2021,Hawaii,HI,22282457.000000004
2021,Idaho,ID,19276878.0
2021,Illinois,IL,9797488.0
2021,Indiana,IN,8836198.0
2021,Iowa,IA,7424011.0
2021,Kansas,KS,9972864.0
2021,Kentucky,KY,10072848.0
2021,Louisiana,LA,23750781.000000004
2021,Maine,ME,9195978.0
2021,Maryland,MD,7758059.0
2021,Massachusetts,MA,11076810.0
2021,Michigan,MI,18625433.0
2021,Mississippi,MS,15591709.000000002
2021,Missouri,MO,9683265.0
2021,Montana,MT,15710886.0
2021,Nebraska,NE,5929038.0
2021,New Hampshire,NH,16411667.000000002
2021,New Jersey,NJ,9934246.0
2021,New Mexico,NM,19865016.000000004
2021,New York,NY,24427804.000000004
2021,North Carolina,NC,23956531.000000004
2021,North Dakota,ND,7735580.0
2021,Ohio,OH,18484583.000000004
2021,Oklahoma,OK,10620734.0
2021,Oregon,OR,21349674.0
2021,Pennsylvania,PA,9409045.0
2021,Rhode Island,RI,8446806.0
2021,South Carolina,SC,29285637.000000004
2021,South Dakota,SD,8495576.0
2021,Tennessee,TN,18067440.0
2021,Texas,TX,20902864.0
2021,Utah,UT,9696420.0
2021,Vermont,VT,14352923.0
2021,Virginia,VA,21575040.0
2021,West Virginia,WV,10689160.0
2021,Wisconsin,WI,7727469.0
2021,Wyoming,WY,18577517.0
