State,Retailer,state_code,TotalSales
Alabama,amazon,AL,3555826.0
Alabama,foot locker,AL,2509950.0
Alabama,kohl's,AL,3180585.0
Alabama,sports direct,AL,19616508.0
Alabama,walmart,AL,3217890.0
Alabama,west gear,AL,3805830.0
Alaska,amazon,AK,15439340.0
Alaska,foot locker,AK,3186363.0
Alaska,kohl's,AK,2012315.0
Alaska,sports direct,AK,930195.0
Alaska,walmart,AK,1861845.0
Alaska,west gear,AK,1952160.0
Arizona,amazon,AZ,1530705.0
Arizona,foot locker,AZ,15910426.0
Arizona,kohl's,AZ,4601905.0
Arizona,sports direct,AZ,1773620.0
Arizona,walmart,AZ,1658825.0
Arizona,west gear,AZ,1688380.0
Arkansas,amazon,AR,2706435.0
Arkansas,foot locker,AR,2979220.0
Arkansas,kohl's,AR,3117900.0
Arkansas,sports direct,AR,2661335.0
Arkansas,walmart,AR,11165061.0
Arkansas,west gear,AR,7820991.000000001
California,amazon,CA,2397995.0
California,foot locker,CA,2347813.0
California,kohl's,CA,27798303.0
California,sports direct,CA,1576195.0
California,walmart,CA,2739495.0
California,west gear,CA,35153942.0
Colorado,amazon,CO,1709180.0
Colorado,foot locker,CO,2181860.0
Colorado,kohl's,CO,1201360.0
Colorado,sports direct,CO,1669735.0
Colorado,walmart,CO,1626150.0
Colorado,west gear,CO,22622751.000000004
Connecticut,amazon,CT,2688525.0
Connecticut,foot locker,CT,5366623.0
Connecticut,kohl's,CT,1235200.0
Connecticut,sports direct,CT,9622520.0
Connecticut,walmart,CT,2336455.0
Connecticut,west gear,CT,2279325.0
Delaware,amazon,DE,1375930.0
Delaware,foot locker,DE,10215653.0
Delaware,kohl's,DE,5432864.0
Delaware,sports direct,DE,2402300.0
Delaware,walmart,DE,1863415.0
Delaware,west gear,DE,2543695.0
Florida,amazon,FL,3032180.0
Florida,foot locker,FL,13259051.0
Florida,kohl's,FL,4742465.0
Florida,sports direct,FL,14452226.000000002
Florida,walmart,FL,24557789.0
Florida,west gear,FL,21366278.0
Georgia,amazon,GA,3427030.0
Georgia,foot locker,GA,8138123.0
Georgia,kohl's,GA,3552910.0
Georgia,sports direct,GA,19619113.000000004
Georgia,walmart,GA,3549100.0
Georgia,west gear,GA,3373330.0
Hawaii,amazon,HI,1311360.0
Hawaii,foot locker,HI,14525018.0
Hawaii,kohl's,HI,1823995.0
Hawaii,sports direct,HI,5312321.0
Hawaii,walmart,HI,8567183.000000002
Hawaii,west gear,HI,2479820.0
Idaho,amazon,ID,1532600.0
Idaho,foot locker,ID,9333041.0
Idaho,kohl's,ID,1321440.0
Idaho,sports direct,ID,8014293.0
Idaho,walmart,ID,1713950.0
Idaho,west gear,ID,8432039.0
Illinois,amazon,IL,1358235.0
Illinois,foot locker,IL,11318536.0
Illinois,kohl's,IL,1767580.0
Illinois,sports direct,IL,2271897.0
Illinois,walmart,IL,2355980.0
Illinois,west gear,IL,2209815.0
Indiana,amazon,IN,1804680.0
Indiana,foot locker,IN,1619015.0
Indiana,kohl's,IN,1894515.0
Indiana,sports direct,IN,2718445.0
Indiana,walmart,IN,1257140.0
Indiana,west gear,IN,10430183.0
Iowa,amazon,IA,2033595.0
Iowa,foot locker,IA,6589320.0
Iowa,kohl's,IA,2213315.0
Iowa,sports direct,IA,1591890.0
Iowa,walmart,IA,1481865.0
Iowa,west gear,IA,4227341.0
Kansas,amazon,KS,1740965.0
Kansas,foot locker,KS,4990760.0
Kansas,kohl's,KS,7957374.0
Kansas,sports direct,KS,1488040.0
Kansas,walmart,KS,1862270.0
Kansas,west gear,KS,2000830.0
Kentucky,amazon,KY,10671282.0
Kentucky,foot locker,KY,6536151.0
Kentucky,kohl's,KY,3929430.0
Kentucky,sports direct,KY,4879565.0
Kentucky,walmart,KY,4106325.0
Kentucky,west gear,KY,3686700.0
Louisiana,amazon,LA,3726310.0
Louisiana,foot locker,LA,6413453.000000001
Louisiana,kohl's,LA,3106955.0
Louisiana,sports direct,LA,2645820.0
Louisiana,walmart,LA,3009650.0
Louisiana,west gear,LA,23393733.0
Maine,amazon,ME,10946180.0
Maine,foot locker,ME,1126305.0
Maine,kohl's,ME,1753720.0
Maine,sports direct,ME,1669900.0
Maine,walmart,ME,2088535.0
Maine,west gear,ME,2362948.0
Maryland,amazon,MD,2554670.0
Maryland,foot locker,MD,5278243.0
Maryland,kohl's,MD,1942195.0
Maryland,sports direct,MD,4622510.0
Maryland,walmart,MD,1947810.0
Maryland,west gear,MD,3907386.0
Massachusetts,amazon,MA,6596020.0
Massachusetts,foot locker,MA,1742535.0
Massachusetts,kohl's,MA,1803670.0
Massachusetts,sports direct,MA,9221645.0
Massachusetts,walmart,MA,1862595.0
Massachusetts,west gear,MA,2049115.0
Michigan,amazon,MI,1979845.0
Michigan,foot locker,MI,4222025.0
Michigan,kohl's,MI,1794080.0
Michigan,sports direct,MI,17664278.0
Michigan,walmart,MI,1904485.0
Michigan,west gear,MI,1618965.0
Minnesota,amazon,MN,1692055.0
Minnesota,foot locker,MN,9110895.0
Minnesota,kohl's,MN,2605418.0
Minnesota,sports direct,MN,2240740.0
Minnesota,walmart,MN,2157130.0
Minnesota,west gear,MN,1136685.0
Mississippi,amazon,MS,3431115.0
Mississippi,foot locker,MS,8131341.0
Mississippi,kohl's,MS,2837010.0
Mississippi,sports direct,MS,8343631.000000001
Mississippi,walmart,MS,8776957.0
Mississippi,west gear,MS,3604865.0
Missouri,amazon,MO,1641105.0
