State,Product,state_code,UnitsSold
Alabama,Men's Apparel,AL,7285
Alabama,Men's Athletic Footwear,AL,12232
Alabama,Men's Street Footwear,AL,12612
Alabama,Women's Apparel,AL,11828
Alabama,Women's Athletic Footwear,AL,8003
Alabama,Women's Street Footwear,AL,11367
Alaska,Men's Apparel,AK,3211
Alaska,Men's Athletic Footwear,AK,5435
Alaska,Men's Street Footwear,AK,8984
Alaska,Women's Apparel,AK,5543
Alaska,Women's Athletic Footwear,AK,3091
Alaska,Women's Street Footwear,AK,4551
Arizona,Men's Apparel,AZ,5233
Arizona,Men's Athletic Footwear,AZ,9189
Arizona,Men's Street Footwear,AZ,10631
Arizona,Women's Apparel,AZ,7666
Arizona,Women's Athletic Footwear,AZ,6221
Arizona,Women's Street Footwear,AZ,7979
Arkansas,Men's Apparel,AR,6354
Arkansas,Men's Athletic Footwear,AR,7772
Arkansas,Men's Street Footwear,AR,12588
Arkansas,Women's Apparel,AR,8717
Arkansas,Women's Athletic Footwear,AR,6008
Arkansas,Women's Street Footwear,AR,7029
California,Men's Apparel,CA,22543
California,Men's Athletic Footwear,CA,29524
California,Men's Street Footwear,CA,32810
California,Women's Apparel,CA,27448
California,Women's Athletic Footwear,CA,24025
California,Women's Street Footwear,CA,26934
Colorado,Men's Apparel,CO,4793
Colorado,Men's Athletic Footwear,CO,7976
Colorado,Men's Street Footwear,CO,9114
Colorado,Women's Apparel,CO,6841
Colorado,Women's Athletic Footwear,CO,5697
Colorado,Women's Street Footwear,CO,6957
Connecticut,Men's Apparel,CT,4005
Connecticut,Men's Athletic Footwear,CT,5512
Connecticut,Men's Street Footwear,CT,10076
Connecticut,Women's Apparel,CT,6429
Connecticut,Women's Athletic Footwear,CT,3734
Connecticut,Women's Street Footwear,CT,4940
Delaware,Men's Apparel,DE,3609
Delaware,Men's Athletic Footwear,DE,4855
Delaware,Men's Street Footwear,DE,8506
Delaware,Women's Apparel,DE,5529
Delaware,Women's Athletic Footwear,DE,3387
Delaware,Women's Street Footwear,DE,4389
Florida,Men's Apparel,FL,18657
Florida,Men's Athletic Footwear,FL,23244
Florida,Men's Street Footwear,FL,28732
Florida,Women's Apparel,FL,22678
Florida,Women's Athletic Footwear,FL,18514
Florida,Women's Street Footwear,FL,21605
Georgia,Men's Apparel,GA,6583
Georgia,Men's Athletic Footwear,GA,10803
Georgia,Men's Street Footwear,GA,12955
Georgia,Women's Apparel,GA,8907
Georgia,Women's Athletic Footwear,GA,7465
Georgia,Women's Street Footwear,GA,9678
Hawaii,Men's Apparel,HI,4666
Hawaii,Men's Athletic Footwear,HI,7872
Hawaii,Men's Street Footwear,HI,8923
Hawaii,Women's Apparel,HI,6621
Hawaii,Women's Athletic Footwear,HI,5477
Hawaii,Women's Street Footwear,HI,6816
Idaho,Men's Apparel,ID,7226
Idaho,Men's Athletic Footwear,ID,12427
Idaho,Men's Street Footwear,ID,12573
Idaho,Women's Apparel,ID,11827
Idaho,Women's Athletic Footwear,ID,8282
Idaho,Women's Street Footwear,ID,11492
Illinois,Men's Apparel,IL,2480
Illinois,Men's Athletic Footwear,IL,4392
Illinois,Men's Street Footwear,IL,7844
Illinois,Women's Apparel,IL,4365
Illinois,Women's Athletic Footwear,IL,2741
Illinois,Women's Street Footwear,IL,3585
Indiana,Men's Apparel,IN,2979
Indiana,Men's Athletic Footwear,IN,4273
Indiana,Men's Street Footwear,IN,7857
Indiana,Women's Apparel,IN,4807
Indiana,Women's Athletic Footwear,IN,2732
Indiana,Women's Street Footwear,IN,3684
Iowa,Men's Apparel,IA,2494
Iowa,Men's Athletic Footwear,IA,3800
Iowa,Men's Street Footwear,IA,7397
Iowa,Women's Apparel,IA,4312
Iowa,Women's Athletic Footwear,IA,2219
Iowa,Women's Street Footwear,IA,3224
Kansas,Men's Apparel,KS,3498
Kansas,Men's Athletic Footwear,KS,4688
Kansas,Men's Street Footwear,KS,8454
Kansas,Women's Apparel,KS,5414
Kansas,Women's Athletic Footwear,KS,3277
Kansas,Women's Street Footwear,KS,4132
Kentucky,Men's Apparel,KY,3179
Kentucky,Men's Athletic Footwear,KY,4784
Kentucky,Men's Street Footwear,KY,8506
Kentucky,Women's Apparel,KY,5080
Kentucky,Women's Athletic Footwear,KY,2910
Kentucky,Women's Street Footwear,KY,4205
Louisiana,Men's Apparel,LA,6792
Louisiana,Men's Athletic Footwear,LA,11545
Louisiana,Men's Street Footwear,LA,12605
Louisiana,Women's Apparel,LA,9195
Louisiana,Women's Athletic Footwear,LA,7956
Louisiana,Women's Street Footwear,LA,9522
Maine,Men's Apparel,ME,2215
Maine,Men's Athletic Footwear,ME,3685
Maine,Men's Street Footwear,ME,7147
Maine,Women's Apparel,ME,4083
Maine,Women's Athletic Footwear,ME,2125
Maine,Women's Street Footwear,ME,3155
Maryland,Men's Apparel,MD,1951
Maryland,Men's Athletic Footwear,MD,3376
Maryland,Men's Street Footwear,MD,7059
Maryland,Women's Apparel,MD,3837
Maryland,Women's Athletic Footwear,MD,1725
Maryland,Women's Street Footwear,MD,2870
Massachusetts,Men's Apparel,MA,3517
Massachusetts,Men's Athletic Footwear,MA,5213
Massachusetts,Men's Street Footwear,MA,9736
Massachusetts,Women's Apparel,MA,5952
Massachusetts,Women's Athletic Footwear,MA,3901
Massachusetts,Women's Street Footwear,MA,4576
Michigan,Men's Apparel,MI,6976
Michigan,Men's Athletic Footwear,MI,8142
Michigan,Men's Street Footwear,MI,11809
Michigan,Women's Apparel,MI,8903
Michigan,Women's Athletic Footwear,MI,6756
Michigan,Women's Street Footwear,MI,7509
Minnesota,Men's Apparel,MN,1912
Minnesota,Men's Athletic Footwear,MN,3444
Minnesota,Men's Street Footwear,MN,6850
Minnesota,Women's Apparel,MN,3723
Minnesota,Women's Athletic Footwear,MN,1959
Minnesota,Women's Street Footwear,MN,2950
Mississippi,Men's Apparel,MS,7753
Mississippi,Men's Athletic Footwear,MS,9212
Mississippi,Men's Street Footwear,MS,13839
Mississippi,Women's Apparel,MS,10126
Mississippi,Women's Athletic Footwear,MS,7360
Mississippi,Women's Street Footwear,MS,8524
Missouri,Men's Apparel,MO,4587
Missouri,Men's Athletic Footwear,MO,5862
Missouri,Men's Street Footwear,MO,9656
Missouri,Women's Apparel,MO,6442
Missouri,Women's Athletic Footwear,MO,4355
Missouri,Women's Street Footwear,MO,5502
Montana,Men's Apparel,MT,4899
Montana,Men's Athletic Footwear,MT,8289
Montana,Men's Street Footwear,MT,9580
Montana,Women's Apparel,MT,6851
Montana,Women's Athletic Footwear,MT,6006
Montana,Women's Street Footwear,MT,7088
Nebraska,Men's Apparel,NE,1455
Nebraska,Men's Athletic Footwear,NE,3298
Nebraska,Men's Street Footwear,NE,6794
Nebraska,Women's Apparel,NE,3266
Nebraska,Women's Athletic Footwear,NE,1773
Nebraska,Women's Street Footwear,NE,2580
Nevada,Men's Apparel,NV,6041
Nevada,Men's Athletic Footwear,NV,9991
Nevada,Men's Street Footwear,NV,11494
Nevada,Women's Apparel,NV,8606
Nevada,Women's Athletic Footwear,NV,7077
Nevada,Women's Street Footwear,NV,8622
New Hampshire,Men's Apparel,NH,5048
New Hampshire,Men's Athletic Footwear,NH,6533
New Hampshire,Men's Street Footwear,NH,11137
New Hampshire,Women's Apparel,NH,7379
New Hampshire,Women's Athletic Footwear,NH,4710
New Hampshire,Women's Street Footwear,NH,6005
New Jersey,Men's Apparel,NJ,2942
New Jersey,Men's Athletic Footwear,NJ,4292
New Jersey,Men's Street Footwear,NJ,7920
New Jersey,Women's Apparel,NJ,4875
New Jersey,Women's Athletic Footwear,NJ,2699
New Jersey,Women's Street Footwear,NJ,3812
New Mexico,Men's Apparel,NM,6244
New Mexico,Men's Athletic Footwear,NM,10032
New Mexico,Men's Street Footwear,NM,11546
New Mexico,Women's Apparel,NM,8717
New Mexico,Women's Athletic Footwear,NM,7287
New Mexico,Women's Street Footwear,NM,8807
New York,Men's Apparel,NY,25168
New York,Men's Athletic Footwear,NY,27911
New York,Men's Street Footwear,NY,35855
New York,Women's Apparel,NY,29409
New York,Women's Athletic Footwear,NY,24242
New York,Women's Street Footwear,NY,26555
North Carolina,Men's Apparel,NC,9080
North Carolina,Men's Athletic Footwear,NC,10185
North Carolina,Men's Street Footwear,NC,13969
North Carolina,Women's Apparel,NC,11151
North Carolina,Women's Athletic Footwear,NC,8877
North Carolina,Women's Street Footwear,NC,9674
North Dakota,Men's Apparel,ND,2365
North Dakota,Men's Athletic Footwear,ND,3678
North Dakota,Men's Street Footwear,ND,7325
North Dakota,Women's Apparel,ND,4213
North Dakota,Women's Athletic Footwear,ND,2110
North Dakota,Women's Street Footwear,ND,3090
Ohio,Men's Apparel,OH,6721
Ohio,Men's Athletic Footwear,OH,7643
Ohio,Men's Street Footwear,OH,11391
Ohio,Women's Apparel,OH,8536
Ohio,Women's Athletic Footwear,OH,6473
Ohio,Women's Street Footwear,OH,7017
Oklahoma,Men's Apparel,OK,4982
Oklahoma,Men's Athletic Footwear,OK,6470
