Month,TotalSales
01-2020,16253746.0
02-2020,14997988.0
03-2020,17660577.0
04-2020,24607006.0
05-2020,16918014.0
06-2020,8829819.0
07-2020,17146013.0
08-2020,19877980.0
09-2020,18304436.0
10-2020,10836269.0
11-2020,8622300.0
12-2020,8026527.0
01-2021,55225396.0
02-2021,46102165.0
03-2021,39148532.0
04-2021,47732964.0
05-2021,63589681.0
06-2021,65917553.0
07-2021,78334681.0
08-2021,72288221.0
09-2021,59357023.00000001
10-2021,53074764.00000001
11-2021,59235040.00000001
12-2021,77815430.0
